Size = 1000 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 244824 | swap = 244824 | running time = 0.8610489368438721 second
Size = 1000 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 8230 | swap = 230 | running time = 0.019001007080078125 second
Size = 1000 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 9976 | swap = 0 | running time = 0.02900099754333496 second
Size = 1000 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 55796 | swap = 55796 | running time = 0.1500089168548584 second
Size = 1000 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 9464 | swap = 1464 | running time = 0.023002147674560547 second
Size = 1000 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 9976 | swap = 0 | running time = 0.025001049041748047 second
Size = 1000 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 499500 | swap = 499500 | running time = 1.6320929527282715 second
Size = 1000 | ArrayType = sorted | SortType = optimized 
Result: comparison = 8000 | swap = 0 | running time = 0.019001007080078125 second
Size = 1000 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 9976 | swap = 0 | running time = 0.0260009765625 second
Size = 1000 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0010001659393310547 second
Size = 1000 | ArrayType = spiky | SortType = optimized 
Result: comparison = 8716 | swap = 716 | running time = 0.024000883102416992 second
Size = 1000 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 9976 | swap = 0 | running time = 0.030002117156982422 second
Size = 1000 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 246583 | swap = 246583 | running time = 0.689039945602417 second
Size = 2500 | ArrayType = random | SortType = optimized 
Result: comparison = 24961 | swap = 2461 | running time = 0.05500316619873047 second
Size = 2500 | ArrayType = random | SortType = pure_merge 
Result: comparison = 28404 | swap = 0 | running time = 0.0760040283203125 second
Size = 2500 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 1563226 | swap = 1563226 | running time = 4.478255987167358 second
Size = 2500 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 23338 | swap = 838 | running time = 0.05800294876098633 second
Size = 2500 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 28404 | swap = 0 | running time = 0.06600403785705566 second
Size = 2500 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 339450 | swap = 339450 | running time = 1.0490598678588867 second
Size = 2500 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 27380 | swap = 4880 | running time = 0.09300518035888672 second
Size = 2500 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 28404 | swap = 0 | running time = 0.126007080078125 second
Size = 2500 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 3123750 | swap = 3123750 | running time = 8.812504053115845 second
Size = 2500 | ArrayType = sorted | SortType = optimized 
Result: comparison = 22500 | swap = 0 | running time = 0.06000399589538574 second
Size = 2500 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 28404 | swap = 0 | running time = 0.07200407981872559 second
Size = 2500 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0010001659393310547 second
Size = 2500 | ArrayType = spiky | SortType = optimized 
Result: comparison = 24951 | swap = 2451 | running time = 0.07100415229797363 second
Size = 2500 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 28404 | swap = 0 | running time = 0.09200501441955566 second
Size = 2500 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 1558118 | swap = 1558118 | running time = 4.609263896942139 second
Size = 3500 | ArrayType = random | SortType = optimized 
Result: comparison = 37123 | swap = 2627 | running time = 0.08400511741638184 second
Size = 3500 | ArrayType = random | SortType = pure_merge 
Result: comparison = 41404 | swap = 0 | running time = 0.11600685119628906 second
Size = 3500 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 3083874 | swap = 3083874 | running time = 8.733500003814697 second
Size = 3500 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 35378 | swap = 882 | running time = 0.08400487899780273 second
Size = 3500 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 41404 | swap = 0 | running time = 0.11800694465637207 second
Size = 3500 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 656254 | swap = 656254 | running time = 2.170123815536499 second
Size = 3500 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 39608 | swap = 5112 | running time = 0.08500480651855469 second
Size = 3500 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 41404 | swap = 0 | running time = 0.10100603103637695 second
Size = 3500 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 6123250 | swap = 6123250 | running time = 18.541059970855713 second
Size = 3500 | ArrayType = sorted | SortType = optimized 
Result: comparison = 34496 | swap = 0 | running time = 0.0890049934387207 second
Size = 3500 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 41404 | swap = 0 | running time = 0.11700606346130371 second
Size = 3500 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0009999275207519531 second
Size = 3500 | ArrayType = spiky | SortType = optimized 
Result: comparison = 37046 | swap = 2550 | running time = 0.10800600051879883 second
Size = 3500 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 41404 | swap = 0 | running time = 0.11400699615478516 second
Size = 3500 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 3066704 | swap = 3066704 | running time = 8.796503067016602 second
Size = 5000 | ArrayType = random | SortType = optimized 
Result: comparison = 54955 | swap = 4955 | running time = 0.13100695610046387 second
Size = 5000 | ArrayType = random | SortType = pure_merge 
Result: comparison = 61808 | swap = 0 | running time = 0.16701006889343262 second
Size = 5000 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 6153979 | swap = 6153979 | running time = 18.152037858963013 second
Size = 5000 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 51580 | swap = 1580 | running time = 0.13400816917419434 second
Size = 5000 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 61808 | swap = 0 | running time = 0.16900897026062012 second
Size = 5000 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 1410890 | swap = 1410890 | running time = 4.4712560176849365 second
Size = 5000 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 59760 | swap = 9760 | running time = 0.15700888633728027 second
Size = 5000 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 61808 | swap = 0 | running time = 0.17000913619995117 second
Size = 5000 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 12497500 | swap = 12497500 | running time = 35.12901020050049 second
Size = 5000 | ArrayType = sorted | SortType = optimized 
Result: comparison = 50000 | swap = 0 | running time = 0.11100578308105469 second
Size = 5000 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 61808 | swap = 0 | running time = 0.15300893783569336 second
Size = 5000 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.003000020980834961 second
Size = 5000 | ArrayType = spiky | SortType = optimized 
Result: comparison = 54819 | swap = 4819 | running time = 0.14000797271728516 second
Size = 5000 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 61808 | swap = 0 | running time = 0.17001008987426758 second
Size = 5000 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 6257908 | swap = 6257908 | running time = 18.171039819717407 second
Size = 6000 | ArrayType = random | SortType = optimized 
Result: comparison = 67269 | swap = 7269 | running time = 0.18601107597351074 second
Size = 6000 | ArrayType = random | SortType = pure_merge 
Result: comparison = 75808 | swap = 0 | running time = 0.22201204299926758 second
Size = 6000 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 8925986 | swap = 8925986 | running time = 25.644465923309326 second
Size = 6000 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 62407 | swap = 2407 | running time = 0.16900992393493652 second
Size = 6000 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 75808 | swap = 0 | running time = 0.22501301765441895 second
Size = 6000 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 2107134 | swap = 2107134 | running time = 6.0303449630737305 second
Size = 6000 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 74640 | swap = 14640 | running time = 0.17000889778137207 second
Size = 6000 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 75808 | swap = 0 | running time = 0.19701194763183594 second
Size = 6000 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 17997000 | swap = 17997000 | running time = 51.59095096588135 second
Size = 6000 | ArrayType = sorted | SortType = optimized 
Result: comparison = 60000 | swap = 0 | running time = 0.15500879287719727 second
Size = 6000 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 75808 | swap = 0 | running time = 0.19801115989685059 second
Size = 6000 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.002000093460083008 second
Size = 6000 | ArrayType = spiky | SortType = optimized 
Result: comparison = 67360 | swap = 7360 | running time = 0.18801093101501465 second
Size = 6000 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 75808 | swap = 0 | running time = 0.22001314163208008 second
Size = 6000 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 8933855 | swap = 8933855 | running time = 26.01848816871643 second
Size = 7500 | ArrayType = random | SortType = optimized 
Result: comparison = 87551 | swap = 5051 | running time = 0.25101399421691895 second
Size = 7500 | ArrayType = random | SortType = pure_merge 
Result: comparison = 96808 | swap = 0 | running time = 0.26801490783691406 second
Size = 7500 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 13945881 | swap = 13945881 | running time = 39.261245012283325 second
Size = 7500 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 84155 | swap = 1655 | running time = 0.22901415824890137 second
